,LOTAÇÃO EXERCÍCIO,REM_LIQUIDA,CATEGORIA
297,Gabinete do Senador Mecias de Jesus,2553.75,CARGO EM COMISSÃO
298,Escritório de Apoio do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
299,Escritório de Apoio do Senador Ciro Nogueira,2553.75,CARGO EM COMISSÃO
301,Escritório de Apoio da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
302,Gabinete do Senador Randolfe Rodrigues,770.2,CARGO EM COMISSÃO
303,Escritório de Apoio do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
304,Escritório de Apoio do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
306,Escritório de Apoio 1 da Senadora Rose de Freitas,2553.75,CARGO EM COMISSÃO
307,Escritório de Apoio 1 do Senador Plínio Valério,2553.75,CARGO EM COMISSÃO
309,Escritório de Apoio 1 do Senador Carlos Fávaro,2553.75,CARGO EM COMISSÃO
310,Gabinete do Senador Fabiano Contarato,2252.51,CARGO EM COMISSÃO
311,Escritório de Apoio 1 do Senador Carlos Fávaro,1952.83,CARGO EM COMISSÃO
312,Escritório de Apoio 1 do Senador Carlos Fávaro,1363.51,CARGO EM COMISSÃO
313,Escritório de Apoio 1 do Senador Jorginho Mello,1279.34,CARGO EM COMISSÃO
315,Escritório de Apoio 1 do Senador Jorginho Mello,1363.51,CARGO EM COMISSÃO
316,Escritório de Apoio 1 do Senador Davi Alcolumbre,855.78,CARGO EM COMISSÃO
317,Gabinete do Senador Jean Paul Prates,599.03,CARGO EM COMISSÃO
318,Gabinete da Senadora Maria do Carmo Alves,2061.8,CARGO EM COMISSÃO
319,Escritório de Apoio do Senador Paulo Paim,2049.98,CARGO EM COMISSÃO
320,Gabinete do Senador José Serra,2049.98,CARGO EM COMISSÃO
321,Gabinete do Senador Wellington Fagundes,2049.98,CARGO EM COMISSÃO
322,Escritório de Apoio do Senador Alvaro Dias,2049.98,CARGO EM COMISSÃO
323,Gabinete da Senadora Mailza Gomes,2049.98,CARGO EM COMISSÃO
325,Gabinete da Senadora Soraya Thronicke,2061.8,CARGO EM COMISSÃO
327,Escritório de Apoio nº 1 do Senador Eduardo Gomes,2061.8,CARGO EM COMISSÃO
329,Escritório de Apoio 1 do Senador Márcio Bittar,2049.98,CARGO EM COMISSÃO
330,Escritório de Apoio do Senador Flávio Arns,2061.8,CARGO EM COMISSÃO
331,Escritório de Apoio do Senador Izalci Lucas,2049.98,CARGO EM COMISSÃO
335,Gabinete do Senador Izalci Lucas,2049.98,CARGO EM COMISSÃO
336,Gabinete do Senador Izalci Lucas,2061.8,CARGO EM COMISSÃO
337,Escritório de Apoio do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
338,Gabinete do Senador Paulo Rocha,2061.8,CARGO EM COMISSÃO
339,Gabinete do Senador Major Olimpio,2049.98,CARGO EM COMISSÃO
340,Escritório de Apoio do Senador Humberto Costa,2061.8,CARGO EM COMISSÃO
341,Escritório de Apoio da Senadora Kátia Abreu,2049.98,CARGO EM COMISSÃO
342,Escritório Apoio 1 do Senador Randolfe Rodrigues,2061.8,CARGO EM COMISSÃO
343,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
344,Gabinete do Senador Veneziano Vital do Rêgo,2061.8,CARGO EM COMISSÃO
345,Escritório de Apoio do Senador Humberto Costa,2061.8,CARGO EM COMISSÃO
346,Gabinete do Senador Eduardo Braga,2049.98,CARGO EM COMISSÃO
349,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
352,Escritório de Apoio do Senador Paulo Paim,2049.98,CARGO EM COMISSÃO
353,Gabinete do Senador Roberto Rocha,1825.07,CARGO EM COMISSÃO
354,Escritório de Apoio do Senador Fernando Collor,2049.98,CARGO EM COMISSÃO
356,Escritório de Apoio do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
357,Escritório Apoio 1 do Senador Randolfe Rodrigues,2061.8,CARGO EM COMISSÃO
358,Gabinete do Senador Veneziano Vital do Rêgo,2049.98,CARGO EM COMISSÃO
359,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
360,Gabinete do Senador Veneziano Vital do Rêgo,2049.98,CARGO EM COMISSÃO
361,Gabinete do Senador Veneziano Vital do Rêgo,2049.98,CARGO EM COMISSÃO
363,Escritório de Apoio do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
365,Escritório de Apoio do Senador Alvaro Dias,2049.98,CARGO EM COMISSÃO
366,Escritório de Apoio do Senador Renan Calheiros,2049.98,CARGO EM COMISSÃO
367,Escritório de Apoio do Senador Fernando Collor,1350.69,CARGO EM COMISSÃO
368,Gabinete do Senador Jayme Campos,2061.8,CARGO EM COMISSÃO
369,Gabinete do Senador José Serra,2049.98,CARGO EM COMISSÃO
370,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
371,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
372,Gabinete do Senador Elmano Férrer,2061.8,CARGO EM COMISSÃO
373,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
374,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
375,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
376,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
377,Escritório de Apoio 1 do Senador Jean Paul Prates,2049.98,CARGO EM COMISSÃO
378,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
379,Gabinete da Senadora Nilda Gondim,2049.98,CARGO EM COMISSÃO
380,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
381,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
382,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
383,Gabinete do Senador Alvaro Dias,2061.8,CARGO EM COMISSÃO
384,Gabinete do Senador Jáder Barbalho,2061.8,CARGO EM COMISSÃO
385,Gabinete do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
386,Gabinete do Senador Elmano Férrer,2061.8,CARGO EM COMISSÃO
387,Escritório de Apoio 1 do Senador José Serra,1666.03,CARGO EM COMISSÃO
388,Escritório de Apoio do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
389,Escritório de Apoio nº 1 da Senadora Nilda Gondim,2049.98,CARGO EM COMISSÃO
390,Escritório de Apoio 1 da Senadora Rose de Freitas,2049.98,CARGO EM COMISSÃO
392,Gabinete do Senador Marcelo Castro,1846.22,CARGO EM COMISSÃO
393,Escritório de Apoio 1 do Senador Elmano Férrer,2061.8,CARGO EM COMISSÃO
394,Escritório de Apoio do Senador Ciro Nogueira,2061.8,CARGO EM COMISSÃO
395,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
396,Gabinete da Senadora Soraya Thronicke,1350.69,CARGO EM COMISSÃO
397,Gabinete do Senador Weverton Rocha,1350.69,CARGO EM COMISSÃO
398,Escritório de Apoio 1 do Senador Romário,2049.98,CARGO EM COMISSÃO
399,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
401,Escritório Apoio 1 do Senador Randolfe Rodrigues,2061.8,CARGO EM COMISSÃO
402,Escritório Apoio 1 do Senador Randolfe Rodrigues,2061.8,CARGO EM COMISSÃO
407,Escritório de Apoio 1 do Senador Telmário Mota,2049.98,CARGO EM COMISSÃO
408,Escritório de Apoio 1 do Senador Telmário Mota,2061.8,CARGO EM COMISSÃO
409,Gabinete do Senador Romário,2049.98,CARGO EM COMISSÃO
410,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
416,Escritório de Apoio do Senador Paulo Paim,2049.98,CARGO EM COMISSÃO
417,Escritório de Apoio nº 02 do Senador Acir Gurgacz,2049.98,CARGO EM COMISSÃO
419,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
420,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
421,Escritório de Apoio 1 do Senador Elmano Férrer,2061.8,CARGO EM COMISSÃO
422,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
427,Escritório de Apoio do Senador Humberto Costa,2049.98,CARGO EM COMISSÃO
428,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
431,Escritório Apoio 1 do Senador Randolfe Rodrigues,2049.98,CARGO EM COMISSÃO
432,Escritório de Apoio do Senador Humberto Costa,2049.98,CARGO EM COMISSÃO
433,Escritório de Apoio 1 do Senador Elmano Férrer,2049.98,CARGO EM COMISSÃO
434,Escritório de Apoio 1 do Senador Paulo Rocha,2049.98,CARGO EM COMISSÃO
436,Gabinete da Senadora Eliziane Gama,2049.98,CARGO EM COMISSÃO
437,Escritório de Apoio do Senador Fernando Collor,2049.98,CARGO EM COMISSÃO
440,Gabinete do Senador Izalci Lucas,2061.8,CARGO EM COMISSÃO
444,Escritório de Apoio do Senador Eduardo Braga,2049.98,CARGO EM COMISSÃO
445,Gabinete do Senador Roberto Rocha,2049.98,CARGO EM COMISSÃO
450,Gabinete do Senador Fernando Collor,2049.98,CARGO EM COMISSÃO
